epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4796,4.33828,3.77084,4.07898,0,0,0,0,4.79092,4.73849,4.19894,0.000543587,0.000543587,0.000543587
2,124.527,3.35526,2.33148,3.24325,0.86124,0.10798,0.2105,0.06705,3.23944,3.01779,3.35807,0.00108112,0.00108112,0.00108112
3,186.121,2.78001,1.83163,2.55041,0.53535,0.5194,0.5006,0.2252,2.3754,2.1684,2.34716,0.00160031,0.00160031,0.00160031
4,250.381,2.52939,1.62124,2.25762,0.51894,0.6347,0.58326,0.31895,2.0728,2.41176,2.06651,0.00158448,0.00158448,0.00158448
5,310.761,2.38808,1.54885,2.09705,0.61542,0.61274,0.63326,0.37034,1.94988,1.73675,1.88655,0.00155698,0.00155698,0.00155698
6,374.434,2.22578,1.41093,1.93166,0.70583,0.6613,0.70913,0.42643,1.82531,1.41297,1.74209,0.00152947,0.00152947,0.00152947
7,440.058,2.09594,1.31368,1.84978,0.78894,0.68797,0.77457,0.49086,1.73119,1.27405,1.63225,0.00150197,0.00150197,0.00150197
8,500.916,1.98675,1.29045,1.75483,0.82284,0.71356,0.80783,0.52227,1.67419,1.11028,1.58529,0.00147446,0.00147446,0.00147446
9,563.249,1.94859,1.20681,1.69471,0.82102,0.73288,0.80471,0.5036,1.69925,1.15135,1.60415,0.00144696,0.00144696,0.00144696
10,626.385,1.94044,1.19977,1.61836,0.82012,0.69619,0.79015,0.5038,1.71646,1.17116,1.54885,0.00141945,0.00141945,0.00141945
11,688.238,1.89654,1.18534,1.59201,0.86878,0.74763,0.8299,0.53232,1.65438,1.08126,1.50268,0.00139195,0.00139195,0.00139195
12,750.46,1.84347,1.13227,1.56476,0.87946,0.7621,0.84543,0.54671,1.60892,0.99875,1.49917,0.00136444,0.00136444,0.00136444
13,813.132,1.8073,1.10599,1.53816,0.86503,0.76762,0.8472,0.56431,1.53025,0.99644,1.44761,0.00133693,0.00133693,0.00133693
14,885.452,1.74883,1.11503,1.52018,0.89126,0.75841,0.84747,0.55862,1.55286,0.97716,1.45166,0.00130943,0.00130943,0.00130943
15,981.359,1.7715,1.11246,1.49606,0.88036,0.77031,0.85712,0.58732,1.48129,0.98196,1.40076,0.00128192,0.00128192,0.00128192
16,1065.39,1.66108,1.05564,1.45389,0.86945,0.76888,0.85694,0.57997,1.50076,0.97596,1.40161,0.00125442,0.00125442,0.00125442
17,1138.55,1.66243,1.05371,1.45577,0.87687,0.75734,0.8536,0.58413,1.45511,0.9604,1.38826,0.00122691,0.00122691,0.00122691
18,1221.5,1.63734,1.03591,1.425,0.88298,0.7678,0.84869,0.55595,1.4973,0.98727,1.41443,0.00119941,0.00119941,0.00119941
19,1302.56,1.61564,1.03328,1.42956,0.90204,0.78773,0.87086,0.6054,1.41178,0.91596,1.34882,0.0011719,0.0011719,0.0011719
20,1381.06,1.56616,1.00295,1.38593,0.90271,0.78487,0.87034,0.60962,1.40079,0.90562,1.34723,0.0011444,0.0011444,0.0011444
21,1479.5,1.58792,1.00529,1.38234,0.90479,0.78766,0.87063,0.59267,1.47197,0.90587,1.38444,0.00111689,0.00111689,0.00111689
22,1563.88,1.59253,0.98854,1.3824,0.88086,0.7852,0.87505,0.59121,1.45907,0.92403,1.36706,0.00108938,0.00108938,0.00108938
23,1648.05,1.53034,0.98566,1.37524,0.91956,0.78776,0.8794,0.61545,1.36933,0.88898,1.32164,0.00106188,0.00106188,0.00106188
24,1730.83,1.48933,0.97146,1.35715,0.87553,0.79303,0.87219,0.61764,1.34386,0.8744,1.3063,0.00103437,0.00103437,0.00103437
