epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3051.85,1.07399,0.75384,1.19122,0.91388,0.84038,0.91169,0.68648,0.97396,0.70732,1.19622,0.000539275,0.000539275,0.000539275
43,3136.64,1.079,0.77119,1.19933,0.91056,0.8357,0.90963,0.68328,0.97347,0.71075,1.19295,0.000511769,0.000511769,0.000511769
44,3205.19,1.04762,0.73489,1.18288,0.9348,0.8244,0.9107,0.68182,0.97768,0.69844,1.19634,0.000484263,0.000484263,0.000484263
45,3270.92,1.08069,0.73971,1.17722,0.90716,0.83663,0.9085,0.67986,0.98415,0.7103,1.19942,0.000456758,0.000456758,0.000456758
46,3333.14,1.06984,0.73956,1.18228,0.92396,0.83809,0.91592,0.68594,0.97119,0.69843,1.19153,0.000429253,0.000429253,0.000429253
47,3396.1,1.0533,0.74116,1.18327,0.92196,0.84676,0.91786,0.68475,0.97085,0.68622,1.18949,0.000401747,0.000401747,0.000401747
48,3460.02,1.06484,0.73167,1.17916,0.92236,0.83481,0.90786,0.67045,1.01424,0.70179,1.22205,0.000374242,0.000374242,0.000374242
49,3532.41,1.0409,0.72972,1.17137,0.91143,0.84739,0.91176,0.68183,0.97403,0.69516,1.19452,0.000346736,0.000346736,0.000346736
50,3615.59,1.03468,0.72304,1.1747,0.91991,0.83683,0.91001,0.68944,0.95657,0.69538,1.18407,0.000319231,0.000319231,0.000319231
51,3697.36,1.03051,0.72669,1.1715,0.92083,0.85051,0.91275,0.68948,0.95154,0.6718,1.17931,0.000291725,0.000291725,0.000291725
52,3797.66,1.03489,0.70666,1.16496,0.92428,0.84203,0.91145,0.68569,0.95283,0.67827,1.18216,0.00026422,0.00026422,0.00026422
53,3900.11,1.02546,0.71172,1.17076,0.91821,0.84447,0.91284,0.68821,0.95535,0.68001,1.18208,0.000236714,0.000236714,0.000236714
54,3996.81,1.03457,0.71203,1.16641,0.91746,0.84466,0.91173,0.68442,0.9593,0.67477,1.18757,0.000209209,0.000209209,0.000209209
55,4090.07,1.02881,0.70677,1.16067,0.90471,0.85046,0.91139,0.6864,0.95846,0.67743,1.18592,0.000181703,0.000181703,0.000181703
56,4182.75,0.94789,0.74492,1.14946,0.90705,0.84851,0.90854,0.68001,0.96955,0.70368,1.1897,0.000154198,0.000154198,0.000154198
57,4278.33,0.91256,0.68807,1.13156,0.91941,0.84127,0.91095,0.68041,0.97542,0.69437,1.19702,0.000126692,0.000126692,0.000126692
58,4399.51,0.9492,0.69097,1.12894,0.92678,0.84064,0.90922,0.67863,0.96462,0.69987,1.18791,9.91865e-05,9.91865e-05,9.91865e-05
59,4493.4,0.91246,0.66944,1.11491,0.91855,0.83784,0.90808,0.68049,0.97108,0.70216,1.19422,7.1681e-05,7.1681e-05,7.1681e-05
60,4580.75,0.91574,0.66837,1.11169,0.92051,0.84065,0.91044,0.68361,0.95939,0.69347,1.18823,4.41755e-05,4.41755e-05,4.41755e-05
