epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2820.86,1.15439,0.84376,1.24928,0.91161,0.82235,0.8944,0.64626,1.03816,0.78735,1.24679,0.000539275,0.000539275,0.000539275
43,2880.77,1.16788,0.86238,1.2611,0.92955,0.79357,0.88991,0.65082,1.04476,0.79039,1.24188,0.000511769,0.000511769,0.000511769
44,2941.11,1.12811,0.82484,1.23569,0.91244,0.81688,0.8929,0.64935,1.05071,0.77256,1.24891,0.000484263,0.000484263,0.000484263
45,3001.46,1.16658,0.82327,1.22815,0.90904,0.81097,0.89533,0.65017,1.04729,0.78052,1.24281,0.000456758,0.000456758,0.000456758
46,3073.2,1.15542,0.82483,1.23567,0.89498,0.83591,0.89683,0.65221,1.0342,0.76723,1.23766,0.000429253,0.000429253,0.000429253
47,3143.03,1.14259,0.82985,1.24161,0.90353,0.83443,0.89832,0.64876,1.04886,0.76965,1.2456,0.000401747,0.000401747,0.000401747
48,3203,1.14701,0.81794,1.23347,0.90884,0.82094,0.89666,0.63822,1.08084,0.76671,1.26673,0.000374242,0.000374242,0.000374242
49,3262.82,1.12914,0.81711,1.22621,0.88067,0.82934,0.89084,0.65096,1.02869,0.7668,1.23093,0.000346736,0.000346736,0.000346736
50,3341.65,1.12057,0.80773,1.23263,0.90451,0.82792,0.89505,0.65079,1.02846,0.75433,1.22826,0.000319231,0.000319231,0.000319231
51,3433.69,1.11558,0.81267,1.22864,0.89617,0.83347,0.89962,0.65887,1.01777,0.74387,1.22473,0.000291725,0.000291725,0.000291725
52,3525.17,1.11864,0.79558,1.21967,0.9139,0.8249,0.90105,0.65854,1.01731,0.73486,1.22647,0.00026422,0.00026422,0.00026422
53,3617.11,1.11992,0.80736,1.22775,0.90495,0.83179,0.90091,0.65854,1.0167,0.74458,1.22377,0.000236714,0.000236714,0.000236714
54,3708.94,1.12657,0.80066,1.22174,0.89912,0.83171,0.89567,0.65515,1.00942,0.7383,1.22156,0.000209209,0.000209209,0.000209209
55,3801.37,1.11037,0.7872,1.21182,0.90387,0.83053,0.89833,0.65504,1.02237,0.74467,1.22488,0.000181703,0.000181703,0.000181703
56,3890.81,1.04501,0.84673,1.2157,0.91249,0.81346,0.89114,0.6461,1.03139,0.77636,1.22867,0.000154198,0.000154198,0.000154198
57,3981.36,1.00331,0.79248,1.19583,0.91358,0.82189,0.89354,0.64938,1.03208,0.76799,1.23015,0.000126692,0.000126692,0.000126692
58,4071.63,1.03689,0.78852,1.18924,0.92321,0.81565,0.89553,0.65248,1.02157,0.76406,1.22309,9.91865e-05,9.91865e-05,9.91865e-05
59,4161.29,1.00405,0.76335,1.17725,0.92937,0.81042,0.89793,0.65405,1.03554,0.76484,1.23089,7.1681e-05,7.1681e-05,7.1681e-05
60,4251.27,1.0039,0.76242,1.17371,0.91078,0.81552,0.89618,0.65613,1.02077,0.75296,1.2218,4.41755e-05,4.41755e-05,4.41755e-05
